vertex_ind,xcoord,ycoord,S1_w,S1-3_w,S1-5_w
1,7638997.844,5691596.197,-0.1191,-0.1236,-0.1249
2,7639032.623,5691611.729,-0.1495,-0.1549,-0.1565
3,7639072.987,5691629.402,-0.1878,-0.1943,-0.1961
4,7639113.722,5691612.108,-0.2673,-0.2788,-0.2822
5,7639143.076,5691576.624,-0.3659,-0.3876,-0.3943
6,7639156.7,5691550.192,-0.429,-0.4608,-0.4708
7,7639168.03,5691506.713,-0.5046,-0.5573,-0.5744
8,7639206.919,5691532.352,-0.579,-0.6333,-0.6512
9,7639206.384,5691518.406,-0.5957,-0.6574,-0.678
10,7639172.089,5691482.028,-0.536,-0.6035,-0.6257
11,7639200.416,5691462.295,-0.6293,-0.7257,-0.7587
12,7639248.423,5691473.659,-0.7622,-0.8807,-0.9228
13,7639264.607,5691430.426,-0.8294,-1.0102,-1.0776
14,7639226.497,5691410.8,-0.7166,-0.8831,-0.9437
15,7639236.649,5691383.033,-0.7351,-0.9467,-1.0263
16,7639277.713,5691382.441,-0.8502,-1.1162,-1.2209
17,7639272.813,5691348.223,-0.8013,-1.1161,-1.2434
18,7639313.796,5691321.654,-0.857,-1.2944,-1.4843
19,7639355.285,5691331.799,-0.9616,-1.4571,-1.6802
20,7639395.532,5691360.179,-1.0861,-1.5834,-1.8106
21,7639444.696,5691359.318,-1.1504,-1.733,-2.0135
22,7639489.706,5691358.812,-1.1863,-1.8443,-2.1756
23,7639474.104,5691320.008,-1.0766,-1.8328,-2.2245
24,7639512.601,5691297.437,-1.0177,-1.9176,-2.4148
25,7639538.251,5691275.131,-0.9382,-1.9558,-2.5477
26,7639583.702,5691280.099,-0.9403,-2.0207,-2.6695
27,7639609.076,5691259.024,-0.8466,-2.0332,-2.7799
28,7639653.02,5691265.496,-0.8391,-2.0736,-2.8663
29,7639700.24,5691262.382,-0.7863,-2.0985,-2.966
30,7639739.713,5691288.094,-0.8476,-2.1341,-2.9712
31,7639763.511,5691261.984,-0.7244,-2.1265,-3.0777
32,7639765.424,5691212.026,-0.5422,-2.0656,-3.1664
33,7639760.658,5691167.018,-0.4037,-1.9758,-3.176
34,7639761.721,5691155.304,-0.3696,-1.9489,-3.1721
35,7639760.339,5691149.341,-0.3544,-1.9332,-3.165
36,7639739.031,5691105.382,-0.2603,-1.7939,-3.0537
37,7639695.68,5691084.293,-0.2382,-1.694,-2.9143
38,7639653.751,5691064.288,-0.2174,-1.5926,-2.7627
39,7639620.967,5691033.63,-0.1747,-1.448,-2.5653
40,7639591.183,5690995.725,-0.1273,-1.2656,-2.3081
41,7639590.23,5690978.379,-0.1065,-1.1897,-2.2097
42,7639583.032,5690970.8,-0.0996,-1.1512,-2.1495
43,7639534.149,5690970.133,-0.1068,-1.1055,-2.0194
44,7639490.593,5690948.517,-0.0889,-0.9672,-1.7669
45,7639440.874,5690944.918,-0.0877,-0.8828,-1.5717
46,7639392.502,5690940.592,-0.0829,-0.7814,-1.3565
47,7639409.111,5690905.564,-0.0562,-0.691,-1.2602
48,7639374.215,5690885.318,-0.0434,-0.5709,-1.0419
49,7639337.685,5690860.747,-0.0308,-0.4455,-0.8168
50,7639291.297,5690844.057,-0.0228,-0.3382,-0.6141
51,7639241.878,5690847.134,-0.0206,-0.2729,-0.4797
52,7639195.44,5690859.205,-0.0202,-0.2252,-0.3812
53,7639150.106,5690877.165,-0.0202,-0.1848,-0.3004
54,7639104.806,5690891.096,-0.0183,-0.1415,-0.2225
55,7639057.102,5690906.058,-0.0156,-0.1017,-0.1548
56,7639009.186,5690920.312,-0.0125,-0.069,-0.102
57,7638980.272,5690953.909,-0.0137,-0.0604,-0.0856
