ID;W1;W1_3;W1_5;dist
1;0;-0.0352;-0.1029;0
2;0;-0.0079;-0.0167;70.73
3;0;-0.1329;-0.4295;168.19
4;0;-0.0485;-0.1743;141.4
5;0;-0.0697;-0.1549;189.4
6;0;-0.0141;-0.03;123.95
7;0;-0.1774;-0.1774;144.9
8;0;-0.497;-0.5008;248.47
9;0;-0.5625;-0.6559;242.01
10;0;-0.4937;-0.9432;280.49
11;0;-0.4273;-1.1028;263.87
12;0;-0.3621;-1.0056;300.4
13;0;-0.3089;-0.9007;290.99
14;0;-0.2586;-0.7914;290.28
15;0;-0.217;-0.6874;291.15
16;0;-0.0596;-0.0596;270.14
17;0;-0.0092;-0.0092;137.1
18;0;-0.1601;-0.5273;222.85
