ID;dist;W1;W1_3;W1_5
1;0;0;0;0
2;20.87;0;0;0
3;49.97;0;0;0
4;49.99;0;0;0
5;50;0;0;0
6;50;0;0;0
7;49.96;0;0;0
8;50;0;0;0
9;50;0;0;-0.0001
10;50;0;0;-0.0002
11;50;0;0;-0.0004
12;50;0;-0.0001;-0.0008
13;50;0;-0.0002;-0.0016
14;50;0;-0.0005;-0.0031
15;50;0;-0.0011;-0.0057
16;50;0;-0.0022;-0.0101
17;50;0;-0.0044;-0.0173
18;50;0;-0.0086;-0.029
19;50;0;-0.016;-0.0474
20;50;0;-0.0289;-0.076
21;49.99;0;-0.0502;-0.1196
22;49.97;0;-0.0827;-0.1807
23;49.99;-0.0001;-0.1292;-0.2641
24;49.94;-0.0001;-0.1901;-0.3704
25;49.5;-0.0001;-0.2666;-0.5049
26;41.24;-0.0001;-0.3486;-0.6532
27;49.99;-0.0002;-0.4568;-0.8546
28;13.74;-0.0002;-0.4901;-0.9181
29;5.96;-0.0002;-0.5056;-0.9477
30;49.99;-0.0003;-0.6416;-1.214
31;19.03;-0.0004;-0.6944;-1.3206
32;50;-0.0005;-0.8355;-1.6144
33;49.97;-0.0006;-0.9583;-1.8899
34;49.95;-0.0007;-1.0457;-2.114
35;49.95;-0.0007;-1.0934;-2.2719
36;49.99;-0.0007;-1.1102;-2.3717
37;49.99;-0.0006;-1.1142;-2.4401
38;49.97;-0.0005;-1.086;-2.4377
39;49.96;-0.0004;-1.0273;-2.3647
40;50;-0.0003;-0.955;-2.2528
41;50;-0.0002;-0.8822;-2.1283
42;50;-0.0002;-0.8102;-1.9963
43;50;-0.0001;-0.7403;-1.8612
44;49.99;-0.0001;-0.6715;-1.7227
45;49.99;-0.0001;-0.6046;-1.5834
46;50;0;-0.5422;-1.4498
47;50;0;-0.4829;-1.3195
48;49.99;0;-0.4273;-1.1941
49;49.98;0;-0.3723;-1.0669
50;49.94;0;-0.3021;-0.8994
51;49.95;0;-0.2283;-0.7153
52;49.92;0;-0.1584;-0.5307
53;49.96;0;-0.1015;-0.3689
54;49.99;0;-0.0614;-0.2447
55;50;0;-0.0353;-0.156
56;22.19;0;-0.0273;-0.1262
57;50;0;-0.0147;-0.0762
58;50;0;-0.0075;-0.0442
59;50;0;-0.0037;-0.0247
60;50;0;-0.0017;-0.0132
61;50;0;-0.0008;-0.0068
62;50;0;-0.0003;-0.0034
63;50;0;-0.0001;-0.0016
64;50;0;0;-0.0007
65;50;0;0;-0.0003
66;49.99;0;0;-0.0001
67;49.99;0;0;-0.0001
68;49.99;0;0;0
69;49.98;0;0;0
70;49.99;0;0;0
71;49.97;0;0;0
72;49.97;0;0;0
73;49.97;0;0;0
74;49.98;0;0;0
75;49.99;0;0;0
76;49.97;0;0;0
77;49.99;0;0;0
78;49.99;0;0;0
79;49.99;0;0;0
80;49.99;0;0;0
81;49.99;0;0;0
82;49.99;0;0;0
83;49.99;0;0;0
84;49.99;0;0;0
85;49.99;0;0;0
86;49.99;0;0;0
87;49.99;0;0;0
88;49.99;0;0;0
89;49.99;0;0;0
90;49.97;0;0;0
91;49.96;0;0;0
92;49.96;0;0;0
93;49.96;0;0;0
94;49.95;0;0;0
95;49.96;0;0;0
96;49.96;0;0;0
97;49.95;0;0;0
98;49.96;0;0;0
99;49.96;0;0;0
100;49.96;0;0;0
101;49.96;0;0;0
102;49.99;0;0;0
103;49.99;0;0;0
104;49.99;0;0;0
105;49.99;0;0;0
106;49.99;0;0;0
107;28.76;0;0;0
108;35.64;0;0;0
109;49.99;0;0;0
110;49.99;0;0;0
111;49.99;0;0;0
112;49.99;0;0;0
113;49.99;0;0;0
114;49.99;0;-0.0001;-0.0001
115;49.99;0;-0.0001;-0.0001
116;49.99;0;-0.0003;-0.0003
117;49.99;0;-0.0005;-0.0005
